City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
610,Ratnagiri,IN,79.86,overcast clouds,16.9833,73.3,Hotel Landmark
612,Manaure,CO,81.21,overcast clouds,11.7751,-72.4445,Hotel Palaaima
616,Cape Canaveral,US,81.01,few clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
617,Teguise,ES,79.02,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
618,Diplo,PK,88.81,overcast clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
619,Borovoy,RU,79.88,clear sky,55.4333,86.0833,Tsimus
621,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
627,Gizo,SB,83.48,few clouds,-8.103,156.8419,Imagination Island
632,Sao Cristovao,BR,75.11,broken clouds,-11.0147,-37.2064,Hotel deimar
640,Binzhou,CN,81.79,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
645,Alot,IN,86.94,overcast clouds,23.7667,75.55,SHELENDRA SINGH
646,Kearns,US,81.95,clear sky,40.66,-111.9963,Valley Crossroads
649,Alexandria,EG,82.36,scattered clouds,31.2156,29.9553,Royal Crown Hotel
651,Tautira,PF,77.04,light rain,-17.7333,-149.15,Pension Oaoa
653,Dzaoudzi,YT,78.69,scattered clouds,-12.7887,45.2699,Le Rocher
654,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
658,Hobyo,SO,79.65,broken clouds,5.3505,48.5268,Iftin hotel hobyo
660,Baracoa,CU,77.79,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
661,Puerto Cabezas,NI,76.84,broken clouds,14.0351,-83.3888,Cabaña Caribe
664,Choix,MX,81.25,overcast clouds,26.7092,-108.3219,Hotel Montesclaros
667,Nenjiang,CN,78.8,broken clouds,49.1833,125.2167,Nenjiang Apartment
671,Lincoln,US,76.12,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
674,Buchanan,LR,75.36,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
678,Yatou,CN,84.54,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
682,Pizarro,CO,76.51,moderate rain,4.9533,-77.366,Hotel Limonar
689,Dhone,IN,75.36,overcast clouds,15.4167,77.8833,Pennera Rakesh
